Cartón 1
B,I,N,G,O
11,27,36,49,61
6,18,32,59,71
13,29,X,52,67
1,23,37,53,66
12,21,34,46,75

Cartón 2
B,I,N,G,O
12,18,43,50,75
8,30,44,55,67
2,21,X,52,63
11,17,31,59,64
3,28,35,60,62

Cartón 3
B,I,N,G,O
15,28,38,48,75
2,26,41,51,72
4,30,X,54,73
5,16,34,59,67
13,23,33,60,66

Cartón 4
B,I,N,G,O
2,20,42,46,66
13,17,37,49,70
3,19,X,60,65
1,22,40,54,67
5,27,31,51,72

Cartón 5
B,I,N,G,O
6,27,32,48,62
15,30,45,49,69
7,23,X,57,75
9,16,40,53,71
12,17,33,47,72

Cartón 6
B,I,N,G,O
12,20,45,51,61
1,26,41,54,67
14,18,X,60,66
2,17,37,58,74
5,30,36,46,68

Cartón 7
B,I,N,G,O
8,27,41,59,68
15,21,32,50,72
9,18,X,52,75
1,29,45,46,69
12,26,44,53,61

Cartón 8
B,I,N,G,O
11,22,38,55,63
10,29,44,46,70
6,27,X,56,64
2,30,36,51,75
7,23,40,48,74

Cartón 9
B,I,N,G,O
1,19,42,55,69
12,23,33,60,65
15,30,X,46,75
8,18,32,47,71
4,27,40,54,72

Cartón 10
B,I,N,G,O
14,23,40,48,75
13,22,42,49,71
15,27,X,51,68
6,20,32,52,63
8,25,33,60,74

Cartón 11
B,I,N,G,O
12,29,32,53,62
15,30,45,49,63
13,18,X,48,69
8,27,41,59,68
14,17,38,47,71

Cartón 12
B,I,N,G,O
14,24,35,58,71
11,17,34,52,64
12,26,X,48,75
3,30,41,57,68
9,20,43,56,65

Cartón 13
B,I,N,G,O
5,18,44,54,61
7,17,36,57,72
4,16,X,55,73
1,19,40,47,71
3,29,39,46,67

Cartón 14
B,I,N,G,O
11,28,44,50,72
12,24,43,46,71
9,21,X,54,75
5,20,37,56,68
13,29,35,57,63

Cartón 15
B,I,N,G,O
7,16,34,48,62
12,24,40,46,61
2,29,X,55,71
3,17,38,60,74
1,19,33,47,73

Cartón 16
B,I,N,G,O
3,16,37,51,69
8,18,35,49,65
10,30,X,48,66
15,28,41,58,64
1,22,36,54,75

Cartón 17
B,I,N,G,O
13,27,34,59,69
11,18,40,53,67
15,20,X,56,70
10,28,43,60,73
12,19,44,54,71

Cartón 18
B,I,N,G,O
15,24,37,53,75
1,23,44,58,66
4,20,X,56,62
12,17,43,59,70
9,22,38,60,72

Cartón 19
B,I,N,G,O
12,20,42,58,66
7,23,37,57,73
11,29,X,49,68
15,16,44,53,64
5,27,43,51,65

Cartón 20
B,I,N,G,O
15,26,37,57,63
7,21,44,59,62
9,24,X,56,67
13,28,34,53,66
11,22,42,48,64

Cartón 21
B,I,N,G,O
5,17,37,47,72
11,25,34,48,64
7,20,X,58,69
13,24,31,52,63
2,22,32,57,68

Cartón 22
B,I,N,G,O
4,23,31,52,71
15,21,36,51,65
1,26,X,54,75
2,25,39,60,66
8,16,37,56,68

Cartón 23
B,I,N,G,O
8,16,38,47,69
12,20,36,58,61
11,29,X,55,72
6,30,42,60,67
1,23,32,54,75

Cartón 24
B,I,N,G,O
8,20,34,46,66
10,27,40,50,64
7,25,X,56,72
4,17,45,48,62
5,19,31,51,70

Cartón 25
B,I,N,G,O
10,16,45,48,73
15,23,41,51,66
11,27,X,50,62
2,21,35,60,71
1,30,33,58,72

Cartón 26
B,I,N,G,O
7,18,42,50,72
12,22,31,51,64
11,24,X,60,61
15,17,36,59,71
3,27,35,57,66

Cartón 27
B,I,N,G,O
12,24,33,50,62
5,19,31,53,70
3,21,X,55,74
4,23,34,58,61
9,18,35,47,66

Cartón 28
B,I,N,G,O
6,16,33,46,67
11,27,35,60,68
2,30,X,48,70
5,22,38,59,61
1,18,31,52,73

Cartón 29
B,I,N,G,O
6,25,36,52,65
14,20,32,55,66
2,30,X,56,70
9,19,39,60,73
10,21,37,50,67

Cartón 30
B,I,N,G,O
13,20,40,57,68
8,17,44,49,75
10,29,X,51,71
12,30,35,56,63
5,25,42,53,73

Cartón 31
B,I,N,G,O
13,29,35,58,64
5,25,36,50,73
15,30,X,46,70
1,22,41,55,65
14,20,43,49,74

Cartón 32
B,I,N,G,O
4,25,32,46,65
13,22,35,60,67
14,18,X,54,66
7,29,41,55,63
10,17,31,50,74

Cartón 33
B,I,N,G,O
14,16,45,55,62
10,17,34,52,72
12,18,X,57,68
4,29,39,46,63
1,30,40,47,61

Cartón 34
B,I,N,G,O
1,27,39,60,66
2,29,42,47,65
7,20,X,48,70
13,26,43,49,63
12,24,45,51,64

Cartón 35
B,I,N,G,O
4,18,44,51,74
7,21,37,53,75
13,25,X,48,69
8,30,45,56,70
3,29,36,59,65

Cartón 36
B,I,N,G,O
5,25,36,59,71
9,22,31,51,75
3,26,X,58,64
12,29,35,46,70
10,21,44,56,61

Cartón 37
