Cartón 1
B,I,N,G,O
15,27,38,47,61
11,30,39,56,75
14,18,X,58,70
2,20,34,49,64
12,23,32,46,63

Cartón 2
B,I,N,G,O
14,22,42,56,69
3,21,36,50,72
12,18,X,53,73
11,25,31,59,63
7,27,41,54,68

Cartón 3
B,I,N,G,O
3,29,36,59,71
6,19,39,46,69
8,23,X,48,73
15,26,33,50,74
14,21,44,56,64

Cartón 4
B,I,N,G,O
8,25,33,54,68
6,30,45,57,74
3,27,X,56,70
14,21,44,51,72
10,18,39,53,65

Cartón 5
B,I,N,G,O
4,20,44,48,71
8,30,41,50,65
15,22,X,53,72
3,28,32,54,69
5,29,33,56,74

Cartón 6
B,I,N,G,O
5,27,40,50,67
7,18,38,54,62
15,16,X,46,74
14,26,44,47,61
12,25,35,52,70

Cartón 7
B,I,N,G,O
10,23,31,55,67
3,19,32,,61
7,28,X,53,65
15,17,34,,72
8,16,40,52,69

Cartón 8
B,I,N,G,O
13,26,33,,67
,20,34,47,73
1,27,X,60,65
4,22,43,,66
11,18,42,52,70

Cartón 9
B,I,N,G,O
9,20,43,54,71
12,24,41,50,75
14,21,X,,65
2,26,34,53,66
5,28,39,56,64

Cartón 10
B,I,N,G,O
10,17,35,46,63
12,16,33,49,74
3,26,X,53,72
13,25,44,57,75
2,20,31,48,66

Cartón 11
B,I,N,G,O
4,16,41,59,67
14,27,39,46,74
13,30,X,51,66
15,18,43,57,69
1,26,44,52,73

Cartón 12
B,I,N,G,O
6,24,35,49,72
3,22,44,60,67
11,25,X,54,63
7,19,32,51,65
9,20,34,57,64

Cartón 13
B,I,N,G,O
4,23,45,52,68
3,27,34,48,69
1,16,X,56,75
5,18,35,51,63
8,30,37,53,73

Cartón 14
B,I,N,G,O
9,18,42,58,70
13,28,39,53,69
11,22,X,48,71
12,16,44,47,61
3,27,43,55,66

Cartón 15
B,I,N,G,O
13,19,45,50,
6,18,41,54,63
7,27,X,57,61
12,17,31,59,66
4,30,35,60,72

Cartón 16
B,I,N,G,O
6,27,35,59,65
11,21,34,46,62
9,28,X,52,66
2,29,38,56,61
12,20,44,50,75

Cartón 17
B,I,N,G,O
12,28,42,52,62
1,26,35,50,61
8,17,X,51,74
14,22,43,46,65
13,27,37,47,69

Cartón 18
B,I,N,G,O
15,29,33,51,62
9,17,31,53,68
4,24,X,49,70
3,21,35,46,64
14,18,36,47,61

Cartón 19
B,I,N,G,O
1,29,41,52,74
15,30,38,50,62
2,22,X,51,75
9,24,44,56,69
14,26,37,59,63

Cartón 20
B,I,N,G,O
7,23,36,46,71
3,17,32,52,69
5,30,X,51,61
9,22,42,54,63
8,21,31,56,62
